Category,Name,Abbr.,Region,Level,Tiers,Group,Available,Prereqs,Challenge,Note
Mines of Moria,Fil Gashan,FG,The Flaming Deeps,58,1,Fellowship,Free,,Daily,
Mines of Moria,The Sixteenth Hall,16th,Nud-melek,58,1,Fellowship,Free,,Daily,
Mines of Moria,Skûmfil,Skum,The Foundations of Stone,58,1,Fellowship,Free,,Daily,
Scourge of Khazad-dûm,The Mirror-halls of Lumul-nar,HoM,Zirakzigil,58,1,Small Fellowship,Free,,Daily,
Scourge of Khazad-dûm,The Water Wheels: Nalâ-dûm,WW,The Water-works,58,1,Small Fellowship,Free,,Daily,
Scourge of Khazad-dûm,Halls of Crafting,HoC,The Flaming Deeps,58,1,Fellowship,Free,,Daily,
Tower of Dol Guldur,Sword-hall of Dol Guldur,SH,Dol Guldur,65-160,2,Small Fellowship,Free,,Daily,
Tower of Dol Guldur,Dungeons of Dol Guldur,Dungeons,Dol Guldur,65-160,2,Fellowship,Free,,Daily,
Tower of Dol Guldur,Warg-pens of Dol Guldur,WP,Dol Guldur,65-160,2,Small Fellowship,Free,,Daily,
Tower of Dol Guldur,Sammath Gûl,SG,Dol Guldur,65-160,2,Fellowship,Free,,Daily,
In Their Absence,Lost Temple,LT,Trollshaws,65-160,2,Fellowship,Free,Discover,Daily,
In Their Absence,Sâri-surma,SS,Forochel,65-160,2,Fellowship,Free,Discover,Daily,
In Their Absence,Northcotton Farm,NF or Ncf,Evendim,65-160,2,Small Fellowship,Free,Discover,Daily,
In Their Absence,Stoneheight,Sth,North Downs,65-160,2,Small Fellowship,Free,Discover,Daily,
Rise of Isengard,Dargnákh Unleashed,DU,Isengard,75,2,Small Fellowship,Free,Discover,Biweekly,
Rise of Isengard,Fangorn's Edge,FE,Isengard,75,2,Small Fellowship,Free,Discover,Biweekly,
Rise of Isengard,Pits of Isengard,PoI or Pits,Isengard,75,2,Small Fellowship,Free,Discover,Biweekly,
Rise of Isengard,The Foundry,Foundry,Isengard,75,2,Fellowship,Free,Discover,Biweekly,
Rise of Isengard,Roots of Fangorn,RoF,Great River,75,2,Fellowship,Free,Discover,Biweekly,
The Road to Erebor,Seat of the Great Goblin,SGG,Misty Mountains,20-160,2,Small Fellowship,Free,,Daily,See also Erebor Instances.
The Road to Erebor,Iorbar's Peak,IP,Misty Mountains,20-160,2,Small Fellowship,Free,,Daily,See also Erebor Instances.
The Road to Erebor,Webs of the Scuttledells,Webs,Mirkwood,20-160,2,Small Fellowship,Free,,Daily,See also Erebor Instances.
The Road to Erebor,The Bells of Dale,Bells,Erebor,20-160,2,Fellowship,Free,,Daily,See also Erebor Instances.
Helm's Deep,Helm's Dike,Dike,West Rohan,10-160,,"Solo/Duo, Fellowship",Free,,,Epic Battles
Helm's Deep,The Deeping Wall,Wall or DW,West Rohan,10-160,,"Solo/Duo, Raid",Free,Dike,,Epic Battles
Helm's Deep,The Deeping-coomb,Coomb or DC,West Rohan,10-160,,Solo/Duo,Free,Wall,,Epic Battles
Helm's Deep,The Glittering Caves,GC,West Rohan,10-160,,"Solo/Duo, Small Fellowship",Free,Coomb,,Epic Battles
Helm's Deep,The Hornburg,Hornburg,West Rohan,10-160,,Solo/Duo,Free,GC,,Epic Battles
War for Gondor,Retaking Pelargir,Pela or Pel or Pelargir,Central Gondor,10-160,,"Solo/Duo, Fellowship",Free,,,Epic Battles
War for Gondor,Defence of Minas Tirith,MT or Defence,Old Anórien,10-160,,"Solo/Duo, Small Fellowship",Free,,,Epic Battles
War for Gondor,Hammer of the Underworld,Hammer,Old Anórien,10-160,,"Solo/Duo, Fellowship",Free,Defence,,Epic Battles
Ashes of Osgiliath,Sunken Labyrinth,SL,Eastern Gondor,50-160,2,Small Fellowship,VIP/QP,,Daily,Destroy the hidden forces beneath Osgiliath
Ashes of Osgiliath,The Ruined City,RC,Eastern Gondor,50-160,2,Small Fellowship,VIP/QP,,Daily,Fight through Osgiliath in search of Faramir
Ashes of Osgiliath,The Dome of Stars,DoS or Dome,Eastern Gondor,50-160,2,Fellowship,VIP/QP,,Daily,Reclaim the Dome of Stars from the Nazgûl
Battle of Pelennor,Blood of the Black Serpent,BBS,Old Anórien,75-160,2,Small Fellowship,VIP/QP,,Daily,The Riders of Rohan face the Haradrim and Variags
Battle of Pelennor,The Quays of the Harlond,Quays,Old Anórien,75-160,2,Small Fellowship,VIP/QP,,Daily,Assault the Harlond alongside Aragorn's army!
Battle of Pelennor,The Silent Street,TSS,Old Anórien,75-160,2,Fellowship,VIP/QP,,Daily,"Rath Dínen, the tombs of the Kings and Stewards of Gondor"
Plateau of Gorgoroth,The Court of Seregost,CoS,The Plateau of Gorgoroth,105-160,2,Small Fellowship,Exp/QP,Discover,Daily,Stop Lhaereth from unleashing her plague.
Plateau of Gorgoroth,The Dungeons of Naerband,DoN,The Plateau of Gorgoroth,105-160,2,Fellowship,Exp/QP,Discover,Daily,Evil things still lurk in the prisons of Mordor.
Grey Mountains,Caverns of Thrumfall,Thrum,Ered Mithrin and Withered Heath,118-160,5,"Solo/Duo, Small Fellowship",VIP/QP,Discover,,
Grey Mountains,Glimmerdeep,,Ered Mithrin and Withered Heath,118-160,5,"Solo/Duo, Small Fellowship",VIP/QP,Discover,,
Grey Mountains,Thikil-gundu,TG,Ered Mithrin and Withered Heath,118-160,5,"Solo, Fellowship",VIP/QP,Discover,,
Gladdenmere,The Depths of Kidzul-kâlah,KK,Vales of Anduin,120,3,"Solo/Duo, Fellowship",VIP/QP,Discover,,
Minas Morgul,"Eithel Gwaur, the Filth-well",FW,Minas Morgul,121-160,5,"Solo/Duo, Small Fellowship",Exp,Discover,,
Minas Morgul,"Gath Daeroval, the Shadow-roost",Roost,Minas Morgul,121-160,5,"Solo/Duo, Small Fellowship",Exp,Discover,,
Minas Morgul,"Gorthad Nûr, the Deep-barrow",DB or Barrow,Minas Morgul,121-160,5,"Solo/Duo, Small Fellowship",Exp,Discover,,
Minas Morgul,The Harrowing of Morgul,Harrow or Harrowing,Minas Morgul,121-160,5,"Solo/Duo, Small Fellowship",Exp,,,
Minas Morgul,"Bâr Nírnaeth, the Houses of Lamentation",BN,Minas Morgul,121-160,3,"Solo/Duo, Fellowship",Exp,Discover,,
Minas Morgul,"Ghashan-kútot, the Hall of Black Lore",GK,Minas Morgul,121-160,3,"Solo/Duo, Fellowship",Exp,Discover,,
Minas Morgul,The Fallen Kings,Fallen Kings,Minas Morgul,121-160,3,"Solo/Duo, Fellowship",Exp,The Nine,,
Mists of Wilderland,"Askâd-mazal, the Chamber of Shadows",AM,The Foundations of Stone,50-160,5,"Solo/Duo, Small Fellowship",VIP/QP,Discover,,
War of Three Peaks,"Shakalush, the Stair Battle",Stairs,Elderslade,130-160,5,"Solo/Duo, Fellowship",Exp,Discover,,
War of Three Peaks,Woe of the Willow,Woe,Bree-land,20-160,5,"Solo/Duo, Small Fellowship",VIP/QP,,,
Fate of Gundabad,Assault on Dhúrstrok,AoD,Gundabad,130-160,5,"Solo/Duo, Small Fellowship",Exp,Discover,,
Fate of Gundabad,Den of Pughlak,DoP,Gundabad,130-160,5,"Solo/Duo, Small Fellowship",Exp,Discover,,
Fate of Gundabad,"Adkhât-zahhar, the Houses of Rest",HoR,Gundabad,140-160,5,"Solo/Duo, Fellowship",Exp,Discover,,
Before the Shadow,"Sarch Vorn, the Black Grave",SV,Cardolan,20-160,5,"Solo/Duo, Fellowship",Exp,Discover,,
The Return to Carn Dûm,"Sant Lhoer, the Poison Gardens",SL,Angmar,140-160,5,"Solo/Duo, Small Fellowship",VIP/QP,Discover,,
The Return to Carn Dûm,"Thaurisgar, the Vile Apothecary",Thaur,Angmar,140-160,5,"Solo/Duo, Small Fellowship",VIP/QP,Discover,,
The Return to Carn Dûm,"Sagroth, Lair of Vermin",Sagroth,Angmar,140-160,5,"Solo/Duo, Fellowship",VIP/QP,Discover,,
Corsairs of Umbar,The Streets of Râhal Bakh,Streets,Cape of Umbar,150-160,5,"Solo/Duo, Small Fellowship",Exp,,,
Corsairs of Umbar,The Isle of Storms,Isle,The Shield Isles,150-160,5,"Solo/Duo, Small Fellowship",Exp,,,
Corsairs of Umbar,"Dahâl Huliz, The Arena",Arena,Cape of Umbar,150-160,5,"Solo/Duo, Fellowship",Exp,,,
Corsairs of Umbar,The Dragon and the Storm,Dragon,Cape of Umbar,150-160,3,"Solo/Duo, Fellowship",Free,,,
Legacy of Morgoth,"Ashunûg, the Fane of the Accursed",Fane,Ambarûl,150-160,3,"Solo/Duo, Small Fellowship",Exp,,,
Legacy of Morgoth,"Nirgambâr, the Restless Tomb",Tomb,Imhûlar,150-160,3,"Solo/Duo, Fellowship",Exp,,,
Legacy of Morgoth,"Tûl Zakana, the Well of Forgetting",Well,Khûd Zagin,150-160,3,"Solo/Duo, Fellowship",Exp,,,
Legacy of Morgoth,"Dun Shûma, The King's Fortress",DS,Khûd Zagin,150-160,3,"Solo/Duo, Fellowship",Exp,,,
